23a47cebf16,GitHub,Ryan Ernst,Add plugin permission validation (#64751),Thu Nov 19 14:21:34 2020 -0800
f83ed81cb3a,GitHub,James Rodewig,[DOCS] Document `xpack.http.proxy.scheme` setting (#65264),Thu Nov 19 15:31:24 2020 -0500
3aef5862200,GitHub,Luca Cavanna,Make document parsing aware of runtime fields (#65210),Thu Nov 19 20:13:55 2020 +0100
59f5f481e9e,GitHub,Jay Modi,Fix date math hidden index resolution (#65236),Thu Nov 19 10:54:59 2020 -0700
76c22f751e8,GitHub,Jay Modi,HttpsServer can use TLSv1.3 on JDK16+ (#64496),Thu Nov 19 10:46:19 2020 -0700
06b2deb6745,GitHub,Ryan Ernst,Move security manager codebases files to plugin-metadata (#65243),Thu Nov 19 09:18:41 2020 -0800
a8ddf765262,GitHub,James Rodewig,[DOCS] ILM: Add alloc ex with multiple node attributes (#65266),Thu Nov 19 12:17:10 2020 -0500
90a7f000db5,GitHub,Nik Everett,Fixup reduceRandom tests (#65263),Thu Nov 19 12:04:28 2020 -0500
a51107a8459,GitHub,James Rodewig,[DOCS] Document get data stream API's _meta prop (#65221),Thu Nov 19 09:51:03 2020 -0500
ce644909dcf,GitHub,James Rodewig,[DOCS] EQL: Add wildcard support to `:` operator (#65237),Thu Nov 19 08:26:13 2020 -0500
6e4c9836d00,GitHub,Armin Braun,Remove Redundant Translog Fsync (#65121),Thu Nov 19 14:20:27 2020 +0100
3d33b15850f,GitHub,Adrien Grand,Ignore system indices from mapping stats and analysis stats. (#65220),Thu Nov 19 14:17:43 2020 +0100
8b39992bf87,GitHub,Armin Braun,Cleanup TransportRequestOptions Usage (#65248),Thu Nov 19 13:12:53 2020 +0100
44cc2841198,GitHub,Costin Leau,EQL: Introduce list declaration for : operator (#65230),Thu Nov 19 13:45:21 2020 +0200
63f7fc7cb84,GitHub,Alan Woodward,Fix array handling in XContentMapValues.extractRawValues() (#65193),Thu Nov 19 11:32:03 2020 +0000
0a9ae7c0232,GitHub,Martijn van Groningen,Move watcher transport actions to a single package, (#64488),Thu Nov 19 11:14:18 2020 +0100
46d2681d8a3,GitHub,Rene Groeschke,Split precommit plugins into internal and external (#65102),Thu Nov 19 09:45:19 2020 +0100
21892817c4a,GitHub,Henning Andersen,Test version update for must_exist test (#65216),Thu Nov 19 07:45:01 2020 +0100
